No,Nama_File,Waktu_Inferensi_ms,ID_Objek,Kelas_Prediksi,Confidence,BBox_xyxy,Sudut_Aktual_deg,Sudut_Ref_deg,Deviasi_deg,Koreksi_Servo_deg,Arah_Servo,Status_QC,Aksi_Sistem,Perintah_UART
1,ELCOBENAR-P01-A000-Normal-Gerak-S003-VID002__F002__T0.332s.png,908.0,1,Elco_Benar,0.950,"[363,128,497,448]",0.0,0.0,+0.0,+0.0,DIAM,BENAR (SESUAI REFERENSI),LANJUT KE JIG (PASS),"K1,S0.0,R0.0"
2,ELCOBENAR-P01-A000-Normal-Gerak-S003-VID002__F003__T0.664s.png,337.4,1,Elco_Benar,0.948,"[365,308,498,624]",0.0,0.0,+0.0,+0.0,DIAM,BENAR (SESUAI REFERENSI),LANJUT KE JIG (PASS),"K1,S0.0,R0.0"
3,ELCOSALAH-P01-Normal-Gerak-S003-VID003__F005__T3.660s.png,309.8,1,Elco_Salah,0.945,"[0,371,359,573]",180.0,0.0,+180.0,+180.0,PUTAR 180°,SALAH (PERLU REORIENTASI),PUTAR SERVO 180.0°,"K2,S180.0,R180.0"
4,ELCOSALAH-P01-Normal-Gerak-S003-VID003__F006__T3.992s.png,571.5,1,Elco_Salah,0.943,"[0,547,360,747]",180.0,0.0,+180.0,+180.0,PUTAR 180°,SALAH (PERLU REORIENTASI),PUTAR SERVO 180.0°,"K2,S180.0,R180.0"
